Name,MODEL,Classification,PEAK_DISCHARGE_RATE,NUMBER_OF_CELLS,THICKNESS,CONT_DISCHARGE_RATE,VOLTAGE,CAPACITY,DISCHARGE_PLUG,WIDTH,CHEMISTRY_TYPE,COST,PACK_RESISTANCE,WEIGHT,LENGTH,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_LENGTH,CREO_WIDTH,CREO_THICKNESS,CREO_WEIGHT
TurnigyGraphene1300mAh4S75C,TurnigyGraphene1300mAh4S75C,Battery,150.0,4S1P,36.0,75.0,14.8,1300.0,XT60,35.0,LiPo,23.99,12.0,0.17300000000000001,75.0,12561.813939196163,1.9591809588947463e-06,159.2490272089121,0.0,0.0,0.0,104.55559814914564,-0.019236428064298927,0.0,-0.019236428064298643,92.88153501457096,106.30766563698103,0.0,0.0,0.0,104.55552093364545,0.0447001635881608,0.0,0.04470016358816108,39.94025065814006,,,75.0,35.0,36.0,0.17300000000000001
TurnigyGraphene3000mAh3S75C,TurnigyGraphene3000mAh3S75C,Battery,150.0,3S1P,26.0,75.0,11.1,3000.0,XT90,45.0,LiPo,42.54,13.0,0.32,137.0,20653.601384416113,1.9591809588947463e-06,689.0785747265707,0.0,0.0,0.0,499.52854021573006,-0.03414605843810392,0.0,-0.034146058438104976,223.29518379748774,527.1569940388738,0.0,0.0,0.0,499.52838332347227,0.12524094780778572,0.0,0.12524094780778466,61.373760002048726,,,137.0,45.0,26.0,0.32
TurnigyGraphene2200mAh4S75C,TurnigyGraphene2200mAh4S75C,Battery,150.0,4S1P,41.0,75.0,14.8,2200.0,XT60,35.0,LiPo,42.63,13.0,0.295,106.0,18107.707661783446,1.9591809588947463e-06,394.28635298677057,0.0,0.0,0.0,315.22942604008495,-0.026690451211813127,0.0,-0.026690451211813515,159.19354899222984,303.98476638873603,0.0,0.0,0.0,315.2293285782273,0.06712293206218799,0.0,0.0671229320621876,68.89205985605295,,,106.0,35.0,41.0,0.295
Turnigynano-tech3000mAh2040C,Turnigy nano-tech 3000mAh 20~40C,Battery,40.0,2S1P,15.0,20.0,6.6,3000.0,JR,44.0,LiFePo,21.13,nan,0.167,132.0,15798.521751751156,1.9591809588947463e-06,345.2650896750535,0.0,0.0,0.0,243.19557605253377,-0.032943719364352475,0.0,-0.03294371936435213,108.00865109720684,264.50951022872835,0.0,0.0,0.0,243.19531058717322,0.11347259988055114,0.0,0.11347259988055149,27.25333711624224,,,132.0,44.0,15.0,0.167
TurnigyGraphene6000mAh4S75C,TurnigyGraphene6000mAh4S75C,Battery,150.0,4S1P,34.0,75.0,14.8,6000.0,XT90,69.0,LiPo,99.8,9.0,0.8,168.0,37893.495106970055,1.9591809588947463e-06,3009.3935895754703,0.0,0.0,0.0,1872.8434486596238,-0.04160476247432143,0.0,-0.041604762474322904,1281.7454071777127,2057.3981310846457,0.0,0.0,0.0,1872.8433541101858,0.258412947985393,0.0,0.2584129479853915,329.75004323632567,,,168.0,69.0,34.0,0.8
TurnigyGraphene1300mAh3S75C,TurnigyGraphene1300mAh3S75C,Battery,150.0,3S1P,27.0,75.0,11.1,1300.0,XT60,35.0,LiPo,16.96,13.0,0.137,74.0,10466.398012665599,1.9591809588947463e-06,115.40636346096747,0.0,0.0,0.0,69.09416706892013,-0.01899597403801856,0.0,-0.018995974038018545,61.99921832078344,73.49300977144281,0.0,0.0,0.0,69.09405695145952,0.048940613659677445,0.0,0.04894061365967746,20.08597474871939,,,74.0,35.0,27.0,0.137
TurnigyGraphene3000mAh4S75C,TurnigyGraphene3000mAh4S75C,Battery,150.0,4S1P,45.0,75.0,14.8,3000.0,XT90,34.0,LiPo,56.77,15.0,0.405,137.0,23565.601384391,1.9591809588947463e-06,788.9103791804184,0.0,0.0,0.0,700.4493519471359,-0.03414437411525029,0.0,-0.03414437411524941,221.7830499512889,671.9044963422418,0.0,0.0,0.0,700.4492368274075,0.08191454283596411,0.0,0.08191454283596498,104.77728223284066,,,137.0,34.0,45.0,0.405
TurnigyGraphene1000mAh2S75C,Turnigy Graphene 1000mAh 2S 75C,Battery,150.0,2S1P,17.0,75.0,7.4,1000.0,XT60,35.0,LiPo,9.54,11.0,0.084,74.0,8286.39801267153,1.9591809588947463e-06,71.53076624313934,0.0,0.0,0.0,40.00044452821844,-0.01899403313386916,0.0,-0.018994033133869236,35.34114863036424,45.84802863684446,0.0,0.0,0.0,40.00026961659863,0.04802968387489488,0.0,0.048029683874894806,9.65858593568916,,,74.0,35.0,17.0,0.084
TurnigyGraphene4000mAh4S75C,TurnigyGraphene4000mAh4S75C,Battery,150.0,4S1P,36.0,75.0,14.8,4000.0,XT90,51.0,LiPo,70.83,12.0,0.526,145.0,27692.928796690074,1.9591809588947463e-06,1348.3114804031497,0.0,0.0,0.0,958.2863882870764,-0.036070701231977864,0.0,-0.036070701231980196,499.1992250605081,1006.382444291469,0.0,0.0,0.0,958.2862853395278,0.1515479158002249,0.0,0.15154791580022256,157.27029189637608,,,145.0,51.0,36.0,0.526
TurnigyGraphene1600mAh4S75CSquare,TurnigyGraphene1600mAh4S75CSquare,Battery,150.0,4S1P,36.0,75.0,14.8,1600.0,XT60,49.0,LiPo,24.99,14.0,0.212,67.0,14378.486526908982,1.9591809588947463e-06,267.77804414805394,0.0,0.0,0.0,109.89308295964184,-0.017313906383652267,0.0,-0.017313906383652378,206.28976896248716,140.6101092448841,0.0,0.0,0.0,109.89303443073982,0.061243829700564495,0.0,0.061243829700564384,79.12188258821932,,,67.0,49.0,36.0,0.212
TurnigyGraphene3000mAh6S75C,TurnigyGraphene3000mAh6S75C,Battery,150.0,6S1P,47.0,75.0,22.2,3000.0,XT90,45.0,LiPo,82.57,18.0,0.598,137.0,28297.601384388352,1.9591809588947463e-06,1257.011647501814,0.0,0.0,0.0,980.9887022232191,-0.03414601917345195,0.0,-0.03414601917345095,479.2434529477549,954.3546326896617,0.0,0.0,0.0,980.9886139549865,0.12930119551837221,0.0,0.1293011955183732,176.5865264038352,,,137.0,45.0,47.0,0.598
TurnigyGraphene1000mAh6S75C,TurnigyGraphene1000mAh6S75C,Battery,150.0,6S1P,43.0,75.0,22.2,1000.0,XT60,35.0,LiPo,26.79,19.0,0.212,75.0,14101.813939192012,1.9591809588947463e-06,190.82398343855144,0.0,0.0,0.0,135.0982593272474,-0.01923642735859943,0.0,-0.019236427358598707,121.24919922176181,125.93980951358304,0.0,0.0,0.0,135.09819336559374,0.046184234961413356,0.0,0.04618423496141408,56.3650912584471,,,75.0,35.0,43.0,0.212
TurnigyGraphene6000mAh6S75C,TurnigyGraphene6000mAh6S75C,Battery,150.0,6S1P,48.0,75.0,22.2,6000.0,XT90,69.0,LiPo,129.99,13.0,1.1400000000000001,170.0,44980.32695999515,1.9591809588947463e-06,4374.287150852288,0.0,0.0,0.0,2848.194591802111,-0.042085691564423655,0.0,-0.04208569156441874,1942.1843686994077,3017.605670984558,0.0,0.0,0.0,2848.1945246049527,0.25984995647053466,0.0,0.25984995647053954,585.5029560288365,,,170.0,69.0,48.0,1.1400000000000001
TurnigyReceiver1500mAh6_0V,TurnigyReceiver1500mAh6.0V,Battery,15.0,5S1P,17.0,10.0,6.0,1500.0,JR,32.0,NiMH,7.72,0.0,0.12,84.0,8634.55727803051,1.9591809588947463e-06,79.62707288294601,0.0,-3.501712877949505e-06,0.0,52.71643895695567,-0.021398699576131275,-3.501712877949505e-06,-0.021398699576131164,30.832099933073366,48.95394306048233,0.0,-3.501712877949505e-06,0.0,52.71614242406539,0.07397165173097006,-3.501712877949505e-06,0.07397165173097017,0.159266643499971,,,84.0,32.0,17.0,0.12
TurnigyGraphene1000mAh3S75C,TurnigyGraphene1000mAh3S75C,Battery,150.0,3S1P,24.0,75.0,11.1,1000.0,XT60,35.0,LiPo,16.88,13.0,0.116,74.0,9812.398012667378,1.9591809588947463e-06,102.24368456461968,0.0,0.0,0.0,59.778545363497074,-0.018995974336432297,0.0,-0.018995974336432714,53.41429273944584,66.7596460747975,0.0,0.0,0.0,59.77842669231342,0.04589561807515455,0.0,0.04589561807515413,17.930372920807322,,,74.0,35.0,24.0,0.116
TurnigyGraphene2200mAh3S75C,TurnigyGraphene2200mAh3S75C,Battery,150.0,3S1P,31.0,75.0,11.1,2200.0,XT60,35.0,LiPo,32.73,10.0,0.23,106.0,15287.707661796663,1.9591809588947463e-06,296.54847359771406,0.0,0.0,0.0,224.22231647009482,-0.026690531355438196,0.0,-0.026690531355438724,106.56448045600027,226.15462536468223,0.0,0.0,0.0,224.22218226895484,0.07050471889176127,0.0,0.07050471889176074,36.17076642410845,,,106.0,35.0,31.0,0.23
TurnigyGraphene1500mAh4S75C,TurnigyGraphene1500mAh4S75C,Battery,150.0,4S1P,33.0,75.0,14.8,1500.0,XT60,35.0,LiPo,26.49,17.0,0.202,91.0,13940.46876375555,1.9591809588947463e-06,221.5675567929008,0.0,0.0,0.0,157.4619588473084,-0.02308370718648156,0.0,-0.023083707186481194,99.66300402397871,159.74697731022547,0.0,0.0,0.0,157.46185355321293,0.05759671740519984,0.0,0.057596717405200205,37.84252983539884,,,91.0,35.0,33.0,0.202
Turnigynano-tech2000mAh2040C,Turnigy nano-tech 2000mAh 20~40C,Battery,40.0,2S1P,16.0,20.0,6.6,2000.0,JR,42.0,LiFePo,14.73,nan,0.109,90.0,11047.052837242118,1.9591809588947463e-06,144.15186851529836,0.0,0.0,0.0,79.99005637721706,-0.022841262985874522,0.0,-0.022841262985874494,68.85273799838929,96.14403566220787,0.0,0.0,0.0,79.98988379629435,0.06818184565509984,0.0,0.06818184565509987,20.84507772622153,,,90.0,42.0,16.0,0.109
TurnigyGraphene5000mAh4S75C,TurnigyGraphene5000mAh4S75C,Battery,150.0,4S1P,42.0,75.0,14.8,5000.0,XT90,51.0,LiPo,81.7,11.0,0.63,145.0,30044.928796682143,1.9591809588947463e-06,1575.9853959573863,0.0,0.0,0.0,1143.0404602312544,-0.03607068777519373,0.0,-0.03607068777519726,607.0140031762913,1166.4329287835308,0.0,0.0,0.0,1143.0403699423732,0.15622602534154004,0.0,0.1562260253415365,197.4616262913169,,,145.0,51.0,42.0,0.63
TurnigyGraphene4000mAh6S75C,TurnigyGraphene4000mAh6S75C,Battery,150.0,6S1P,51.0,75.0,22.2,4000.0,XT90,51.0,LiPo,104.34,16.0,0.76,145.0,33572.928796670254,1.9591809588947463e-06,1917.4962692887423,0.0,0.0,0.0,1440.9917325840497,-0.03607066759013122,0.0,-0.03607066759013269,789.5563347864944,1423.4104496840846,0.0,0.0,0.0,1440.9916589734635,0.15463838190102916,0.0,0.1546383819010277,295.4705887924233,,,145.0,51.0,51.0,0.76
Turnigy_nano_tech_2000mAh_20_40C,40C,Battery,40.0,2S1P,16.0,20.0,6.6,2000.0,JR,42.0,LiFePo,14.73,0.0,0.109,90.0,11047.052837242118,1.9591809588947463e-06,144.15186851529836,0.0,0.0,0.0,79.99005637721706,-0.022841262985874522,0.0,-0.022841262985874494,68.85273799838929,96.14403566220787,0.0,0.0,0.0,79.98988379629435,0.06818184565509984,0.0,0.06818184565509987,20.84507772622153,,,90.0,42.0,16.0,0.109
