Name,MODEL,Classification,LENGTH,CONT_AMPS,MAX_VOLTAGE,BEC,BEC_OUTPUT_CONT_AMPS,BEC_OUTPUT_PEAK_AMPS,COST,BEC_OUTPUT_VOLTAGE,CONTROL_CHANNEL,ESC/BEC Class,THICKNESS,Offset,Mount_Angle,TUBE_OD,WIDTH,WEIGHT,PEAK_AMPS,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_LENGTH,CREO_WIDTH,CREO_THICKNESS,CREO_WEIGHT,CREO_TUBE_OD,CREO_OFFSET,CREO_MOUNT_ANGLE
t_motor_AT_40A,t_motor_AT_40A,ESC,65.0,40.0,15.0,5.0,3.0,,15.99,5.0,1,3.0,12.0,50.0,90.0,10.0076,25.0,0.043,55.0,5630.570610474826,1.6287430696742455e-06,8.179446227686565,-3.341797686447036,7.005672637022777,-3.341797686447036,27.92276971634145,2.386038375984527,7.005672637022777,2.386038375984527,22.793437473224227,-0.07255098469207222,1.158286944465324,-2.4170428235629666,1.158286944465324,7.989777541687706,-0.8230128230771858,-2.4170428235629666,-0.8230128230771858,8.047295942295166,,,65.0,25.0,12.0,0.043,10.0076,0.0,0.0
t_motor_AT_12A,t_motor_AT_12A,ESC,38.0,12.0,12.0,5.0,2.0,,10.99,5.0,1,3.0,7.0,50.0,90.0,10.0076,18.0,0.011,15.0,2372.5705835910107,1.6287430696742455e-06,0.9916325116701499,-0.11130010347866962,0.29330925708898575,-0.11130010347866962,2.0337167286629443,0.24854061740957317,0.29330925708898575,0.24854061740957317,1.297940302525911,-0.03054295374735458,0.04312310434469027,-0.11002464878363633,0.04312310434469027,0.9597445288656361,-0.09278292869119814,-0.11002464878363633,-0.09278292869119814,0.9847805826540247,,,38.0,18.0,7.0,0.011,10.0076,0.0,0.0
t_motor_AT_30A,t_motor_AT_30A,ESC,68.0,30.0,12.0,5.0,2.0,,13.99,5.0,1,3.0,8.0,50.0,90.0,10.0076,25.0,0.037,40.0,5108.570610434562,1.6287430696742455e-06,5.125498134724624,-1.6909505797240727,5.323403059599136,-1.6909505797240727,21.58259839727682,1.1115476151193469,5.323403059599136,1.1115476151193469,17.40331300649964,-1.2415477640603862,1.110824309371666,-3.485245522449122,1.110824309371666,2.381073588382126,-0.7275632781340962,-3.485245522449122,-0.7275632781340962,3.3988987377513764,,,68.0,25.0,8.0,0.037,10.0076,0.0,0.0
t_motor_AIR_40A,t_motor_AIR_40A,ESC,55.6,40.0,25.0,,,,39.99,,1,2.0,11.3,50.0,90.0,10.0076,25.2,0.026,60.0,4848.890610817631,1.6287430696742455e-06,6.594968005089978,-1.8702063615997373,4.203308742313771,-1.8702063615997373,16.616596634350522,1.8398333122281332,4.203308742313771,1.8398333122281332,12.217924936571508,1.6466754582834753,0.0034256820242415387,-0.0006057233292482422,0.0034256820242415387,8.20738144509625,-8.271579182350663e-05,-0.0006057233292482422,-8.271579182350663e-05,7.116947218860333,,,55.6,25.2,11.3,0.026,10.0076,0.0,0.0
kde_direct_KDEXF_UAS35,kde_direct_KDEXF_UAS35,ESC,64.0,35.0,35.0,,,,58.95,,1,1.0,11.0,50.0,90.0,10.0076,25.0,0.05,60.0,5378.5706105004,1.6287430696742455e-06,7.166422119661318,-2.6870271253409697,6.148065350660617,-2.6870271253409697,24.42565569526555,1.9747807257997443,6.148065350660617,1.9747807257997443,19.572721386687743,-2.143263099530012,1.9717788285033495,-4.497820652599015,1.9717788285033495,2.1070329600620887,-1.4444708323806554,-4.497820652599015,-1.4444708323806554,3.571148121605054,,,64.0,25.0,11.0,0.05,10.0076,0.0,0.0
t_motor_AT_55A,t_motor_AT_55A,ESC,77.0,55.0,23.0,5.0,5.0,,29.99,5.0,1,3.0,14.0,50.0,90.0,10.0076,35.0,0.063,75.0,8746.570559647751,1.6287430696742455e-06,29.178266658838265,-10.118023455063781,25.378949341392715,-10.118023455063781,89.99035925119878,7.533519058437433,25.378949341392715,7.533519058437433,68.84298983833094,6.8135231787932025,0.22531212479692542,-0.5502085405597263,0.22531212479692542,35.8506072991007,-0.16318927471675693,-0.5502085405597263,-0.16318927471675693,30.927431988425965,,,77.0,35.0,14.0,0.063,10.0076,0.0,0.0
t_motor_ALPHA_60A,t_motor_ALPHA_60A,ESC,64.0,40.0,26.0,,,,69.99,,1,2.0,16.0,50.0,90.0,10.0076,32.5,0.0628,60.0,7468.570610429871,1.6287430696742455e-06,23.77123756559773,-7.378589882768267,15.047655424952092,-7.378589882768267,53.6590933918352,7.051787655216909,15.047655424952092,7.051787655216909,39.139876009088795,3.1936656340219223,1.1436954210599186,-2.3188254165207436,1.1436954210599186,18.88920036126638,-1.0864501943071545,-2.3188254165207436,-1.0864501943071545,16.960169848359214,,,64.0,32.5,16.0,0.0628,10.0076,0.0,0.0
t_motor_AIR_20A,t_motor_AIR_20A,ESC,30.0,20.0,17.0,,,,19.99,,1,2.0,10.0,50.0,90.0,10.0076,17.5,0.015,30.0,2220.570526120257,1.6287430696742455e-06,1.1790094221195542,-0.0006926319969121781,0.0038125507160650576,-0.0006926319969121782,1.600316024537352,0.37691277691833386,0.0038125507160650576,0.37691277691833386,0.9924743081229112,-0.3323743682594748,0.0033091878558714513,-0.0033137079386464713,0.0033091878558714513,0.4512357797880101,-0.2683395906397715,-0.0033137079386464713,-0.2683395906397715,0.6300823691612683,,,30.0,17.5,10.0,0.015,10.0076,0.0,0.0
kde_direct_KDEXF_UAS55,kde_direct_KDEXF_UAS55,ESC,81.0,55.0,35.0,,,,87.95,,1,1.0,11.0,50.0,90.0,10.0076,25.0,0.06,95.0,6602.570559645621,1.6287430696742455e-06,9.059863478067573,-5.098110529082661,11.646382530137911,-5.098110529082661,51.615035685335684,2.498269020052454,11.646382530137911,2.498269020052454,45.48288621804345,-2.1155855540536175,3.2916953265821407,-7.503480429285416,3.2916953265821407,3.12614372747346,-1.6094024609786604,-7.503480429285416,-1.6094024609786604,4.570193906787233,,,81.0,25.0,11.0,0.06,10.0076,0.0,0.0
t_motor_ALPHA_40A,t_motor_ALPHA_40A,ESC,64.5,40.0,26.0,,,,69.99,,1,2.0,14.5,50.0,90.0,10.0076,29.2,0.0545,60.0,6704.670610446792,1.6287430696742455e-06,15.809419075050487,-5.569616449271486,11.269250538568215,-5.569616449271486,41.70082830625496,4.712859432274488,11.269250538568215,4.712859432274488,32.127106127323486,1.3484317941697328,1.2288590831857586,-2.4738138675017325,1.2288590831857586,13.825975056520704,-1.034348332001513,-2.4738138675017325,-1.034348332001513,13.027135486193023,,,64.5,29.2,14.5,0.0545,10.0076,0.0,0.0
