Name,MODEL,Classification,MAX_POWER,IO_IDLE_CURRENT@10V,LENGTH,KT,ESC/BEC_Class,CAN_LENGTH,TOTAL_LENGTH,KM,SHAFT_DIAMETER,WEIGHT,Poles,INTERNAL_RESISTANCE,CONTROL_CHANNEL,ADAPTER_LENGTH,MAX_CURRENT,Max_#_of_Cells,KV,COST,CAN_DIAMETER,Min_#_of_Cells,PROP_SIZE_REC.,PROP_PITCH_REC.,ESC_PWM_RATE_MIN,ADAPTER_DIAMETER,ESC_PWM_RATE_MAX,COST_ADAPTER,ESC_RATE,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_CAN_DIAMETER,CREO_CAN_LENGTH,CREO_SHAFT_DIAMETER,CREO_TOTAL_LENGTH,CREO_LENGTH,CREO_WEIGHT
t_motor_AT3520KV850,AT3520KV850,Motor,1100.0,2.0,45.0,0.011234466571192613,3.0,20.0,65.0,0.09494857222248725,5.0,0.221,12N14P,14.0,1,"(30.0, 36.0)",70.0,4.0,850.0,79.99,43.0,3.0,"(13.0, 15.0)","(5.0, 7.0)",,"(6.0, 8.0)",,,,7475.686462926633,5.2327113769512685e-06,77.90109496245746,0.0,0.0,0.0,40.0376268811271,-0.19515771391932546,0.0,-0.19515771391932546,77.6756632601716,24.211324655876133,0.0,0.0,0.0,40.03707219603775,-0.02258712730476245,0.0,-0.02258712730476245,23.98644763867962,,,43.0,20.0,5.0,65.0,45.0,0.221
t_motor_AS2814KV2000,AS2814KV2000,Motor,441.0,4.5,36.0,0.004774648292756861,3.0,14.0,54.5,0.04552448523949003,5.0,0.116,12N14P,11.0,1,30.0,42.0,3.0,2000.0,33.99,36.2,2.0,"(7.0, 11.0)","(4.0, 7.0)",,6.0,,,,5900.680271059017,5.2327113769512685e-06,51.705864200996885,0.0,0.0,0.0,20.724491281364365,-0.16822519654729362,0.0,-0.16822519654729362,51.539764275816964,24.039475985042756,0.0,0.0,0.0,20.724076304856233,-0.061077032918536264,0.0,-0.06107703291853628,23.873791036370974,,,36.2,14.0,5.0,54.5,36.0,0.116
t_motor_AT2308KV2600,AT2308KV2600,Motor,300.0,1.8,26.0,0.003672806379043739,3.0,8.0,40.5,0.02194921630389469,4.0,0.048,12N14P,28.0,1,23.0,28.0,4.0,2600.0,29.99,28.8,2.0,"(5.0, 7.0)","(4.0, 6.0)",,6.0,,,,4303.506303486514,5.2327113769512685e-06,30.825206587983416,0.0,0.0,0.0,8.693726212266151,-0.13891996177970034,0.0,-0.13891996177970034,30.71350651453907,19.507062682555613,0.0,0.0,0.0,8.69344761525067,-0.08276728155399252,0.0,-0.08276728155399252,19.395641206126747,,,28.8,8.0,4.0,40.5,26.0,0.048
t_motor_MN4012KV480,MN4012KV480,Motor,870.0,1.3,33.0,0.019894367886486918,2.0,12.0,40.9,0.08332833742247843,4.0,0.155,18N24P,57.0,1,"(31.5, 31.5)",29.0,8.0,480.0,92.9,44.7,4.0,"(12.0, 16.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7680.909267227701,5.2327113769512685e-06,88.84547742167243,0.0,0.0,0.0,50.051758672107866,-0.20189737857053114,0.0,-0.20189737857053158,88.60381621065952,52.10442877724043,0.0,0.0,0.0,50.051431186291154,-0.09220660833268607,0.0,-0.0922066083326865,51.86309505204423,,,44.7,12.0,4.0,40.9,33.0,0.155
t_motor_AT3520KV550,AT3520KV550,Motor,1110.0,1.1,45.0,0.017362357428206764,3.0,20.0,65.0,0.09861156371777464,5.0,0.218,12N14P,31.0,1,"(30.0, 36.0)",50.0,6.0,550.0,79.99,43.0,4.0,"(13.0, 15.0)","(5.0, 8.0)",,"(6.0, 8.0)",,,,7475.686462926633,5.2327113769512685e-06,77.90109496245746,0.0,0.0,0.0,40.0376268811271,-0.19515771391932546,0.0,-0.19515771391932546,77.6756632601716,24.940145067277683,0.0,0.0,0.0,40.03707972569959,-0.02492971445337644,0.0,-0.02492971445337644,24.715260520419328,,,43.0,20.0,5.0,65.0,45.0,0.218
t_motor_MN4010KV370,MN4010KV370,Motor,450.0,0.8,30.0,0.025808909690577624,2.0,10.0,39.1,0.08244353784754947,4.0,0.137,18N24P,98.0,1,"(31.5, 31.5)",20.0,8.0,370.0,86.9,44.7,4.0,"(12.0, 17.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7692.615887698452,5.2327113769512685e-06,89.50113481451112,0.0,0.0,0.0,50.78464790547637,-0.20189359287974806,0.0,-0.20189359287974806,89.25947601910752,57.37826372693603,0.0,0.0,0.0,50.784364424332026,-0.10646745445818688,0.0,-0.10646745445818688,57.13688841267678,,,44.7,10.0,4.0,39.1,30.0,0.137
kde_direct_KDE2814XF_775,KDE2814XF_775,Motor,666.0,0.5,31.7,0.0123,1.0,14.0,41.45,0.0469,4.0,0.125,12S14P,69.0,1,15.0,36.0,5.0,775.0,71.95,35.5,3.0,"(12.0, 16.0)","(3.0, 6.0)",,6.0,,,,5598.9864159786775,5.2327113769512685e-06,50.779396004450014,0.0,0.0,0.0,20.467257256546922,-0.16545217982790383,0.0,-0.16545217982790406,50.618892500207394,21.600934718871052,0.0,0.0,0.0,20.46682550242829,-0.05321255035703748,0.0,-0.0532125503570377,21.44086296874706,,,35.5,14.0,4.0,41.45,31.7,0.125
t_motor_AT2321KV1250,AT2321KV1250,Motor,700.0,1.8,40.0,0.007639437268410976,3.0,21.0,56.0,0.039189486297511025,4.0,0.094,12N14P,38.0,1,23.0,45.0,4.0,1250.0,44.99,28.8,2.0,"(8.0, 11.0)","(4.0, 7.0)",,6.0,,,,4318.765284196598,5.2327113769512685e-06,30.60979853957744,0.0,0.0,0.0,8.553397918563288,-0.13892018544913154,0.0,-0.13892018544913154,30.498098263043257,8.256461082338294,0.0,0.0,0.0,8.552839506138223,-0.027197002745779963,0.0,-0.027197002745779963,8.145319218229176,,,28.8,21.0,4.0,56.0,40.0,0.094
t_motor_MN3515KV400,MN3515KV400,Motor,900.0,0.3,34.0,0.0238732414637843,2.0,15.0,43.0,0.07009425046445468,4.0,0.183,12N14P,116.0,1,31.5,30.0,8.0,400.0,96.9,42.5,4.0,"(12.0, 17.0)","(3.0, 6.0)",,6.0,,,,7161.267562141131,5.2327113769512685e-06,79.05237912422326,0.0,0.0,0.0,41.89418395406453,-0.19317942152100454,0.0,-0.1931794215210041,78.83160477852566,36.3695786725304,0.0,0.0,0.0,41.893764529071234,-0.05938085136360366,0.0,-0.059380851363603215,36.1492237518261,,,42.5,15.0,4.0,43.0,34.0,0.183
t_motor_AT4120KV560,AT4120KV560,Motor,1800.0,2.4,45.0,0.017052315331274503,3.0,20.0,69.0,0.1348103895655903,6.0,0.3,12N14P,16.0,1,"(35.0, 40.0)",80.0,6.0,560.0,109.99,50.0,4.0,"(14.0, 16.0)","(7.0, 9.0)",,"(8.0, 10.0)",,,,9361.790948789938,5.2327113769512685e-06,116.49912462746653,0.0,0.0,0.0,74.71675425011901,-0.22288161526878403,0.0,-0.22288161526878447,116.20333524469726,45.866313987125224,0.0,0.0,0.0,74.71624009167918,-0.032313539872799085,0.0,-0.03231353987279953,45.57103876279578,,,50.0,20.0,6.0,69.0,45.0,0.3
t_motor_AS2820KV1050,AS2820KV1050,Motor,963.0,2.6,42.0,0.009094568176679734,3.0,20.0,62.2,0.059708765283968346,5.0,0.14400000000000002,12N14P,23.2,1,30.0,67.0,4.0,1050.0,34.0,36.2,3.0,"(10.0, 13.0)","(5.0, 8.0)",,6.0,,,,5927.3838076677675,5.2327113769512685e-06,51.74733259368238,0.0,0.0,0.0,20.725037173305637,-0.16822490590921158,0.0,-0.16822490590921158,51.58123491317418,17.577244801655674,0.0,0.0,0.0,20.724523342899474,-0.035720694402060243,0.0,-0.035720694402060243,17.411660951553635,,,36.2,20.0,5.0,62.2,42.0,0.14400000000000002
t_motor_AT2312KV1150,AT2312KV1150,Motor,350.0,0.85,30.0,0.008303736161316279,3.0,12.0,44.5,0.030320957380828555,4.0,0.06,12N14P,75.0,1,23.0,25.0,4.0,1150.0,34.99,28.8,2.0,"(8.0, 10.0)","(4.0, 7.0)",,6.0,,,,4303.506303486514,5.2327113769512685e-06,30.825206587983416,0.0,0.0,0.0,8.693726212266151,-0.13891996177970034,0.0,-0.13891996177970034,30.71350651453907,16.677526706198663,0.0,0.0,0.0,8.6933779659968,-0.06872911149756557,0.0,-0.06872911149756557,16.566174879023666,,,28.8,12.0,4.0,44.5,30.0,0.06
t_motor_MN5208KV340,MN5208KV340,Motor,850.0,0.9,29.5,0.02808616642798153,2.0,8.0,38.5,0.09209816785799094,4.0,0.196,24N22P,93.0,1,31.5,35.0,6.0,340.0,99.9,59.0,4.0,"(14.0, 18.0)","(4.0, 7.0)",,6.0,,,,11504.109627332855,5.2327113769512685e-06,189.8333005357701,0.0,0.0,0.0,155.4292608305239,-0.2585498928740968,0.0,-0.25854989287409635,189.43313303538827,144.382146183539,0.0,0.0,0.0,155.4290456152936,-0.1596472420838393,0.0,-0.15964724208383885,143.9821938983875,,,59.0,8.0,4.0,38.5,29.5,0.196
t_motor_AT4130KV450,AT4130KV450,Motor,1800.0,2.5,55.0,0.02122065907891938,3.0,30.0,79.0,0.1627550255379725,6.0,0.40800000000000003,12N14P,17.0,1,"(35.0, 40.0)",75.0,8.0,450.0,119.99,50.0,6.0,"(15.0, 18.0)","(7.0, 10.0)",,"(8.0, 10.0)",,,,9361.790948789938,5.2327113769512685e-06,116.49912462746653,0.0,0.0,0.0,74.71675425011901,-0.22288161526878403,0.0,-0.22288161526878447,116.20333524469726,20.43850215660234,0.0,0.0,0.0,74.71605499464084,0.0362909672697555,0.0,0.03629096726975506,20.143412029311236,,,50.0,30.0,6.0,79.0,55.0,0.40800000000000003
t_motor_AT4130KV230,AT4130KV230,Motor,2500.0,1.4,55.0,0.04151868080658139,3.0,30.0,79.0,0.16949930461601653,6.0,0.40800000000000003,12N14P,60.0,1,"(35.0, 40.0)",60.0,12.0,230.0,119.99,50.0,6.0,"(15.0, 20.0)","(7.0, 11.0)",,"(8.0, 10.0)",,,,9361.790948789938,5.2327113769512685e-06,116.49912462746653,0.0,0.0,0.0,74.71675425011901,-0.22288161526878403,0.0,-0.22288161526878447,116.20333524469726,20.43850215660234,0.0,0.0,0.0,74.71605499464084,0.0362909672697555,0.0,0.03629096726975506,20.143412029311236,,,50.0,30.0,6.0,79.0,55.0,0.40800000000000003
t_motor_AS2814KV900,AS2814KV900,Motor,553.0,1.35,36.0,0.01061032953945969,3.0,14.0,54.5,0.05087263630837239,5.0,0.11,12N14P,43.5,1,30.0,37.0,4.0,900.0,33.99,36.2,3.0,"(9.0, 14.0)","(4.0, 7.0)",,6.0,,,,5900.680271059017,5.2327113769512685e-06,51.705864200996885,0.0,0.0,0.0,20.724491281364365,-0.16822519654729362,0.0,-0.16822519654729362,51.539764275816964,25.47049606517831,0.0,0.0,0.0,20.724097769158377,-0.06661917931312715,0.0,-0.06661917931312716,25.304789652204384,,,36.2,14.0,5.0,54.5,36.0,0.11
kde_direct_KDE4213XF_360,KDE4213XF_360,Motor,1124.0,0.4,34.0,0.0265,1.0,13.0,44.0,0.0932,6.0,0.23,18S24P,81.0,1,"(20.0, 20.0)",38.0,8.0,360.0,133.95,48.2,4.0,"(16.0, 22.0)","(4.0, 8.0)",,"(6.0, 8.0)",,19.95,,8616.621958170823,5.2327113769512685e-06,108.54224576979382,0.0,0.0,0.0,68.21479806700813,-0.21575622098960157,0.0,-0.21575622098960157,108.26544228152366,54.756559183802416,0.0,0.0,0.0,68.214395141605,-0.06854393515217946,0.0,-0.06854393515217946,54.480158620935384,,,48.2,13.0,6.0,44.0,34.0,0.23
t_motor_AT2321KV950,AT2321KV950,Motor,450.0,1.2,40.0,0.010051891142646022,3.0,21.0,56.0,0.03942676083450965,4.0,0.093,12N14P,65.0,1,23.0,30.0,4.0,950.0,44.99,28.8,2.0,"(9.0, 12.0)","(4.0, 7.0)",,6.0,,,,4318.765284196598,5.2327113769512685e-06,30.60979853957744,0.0,0.0,0.0,8.553397918563288,-0.13892018544913154,0.0,-0.13892018544913154,30.498098263043257,8.494262544649349,0.0,0.0,0.0,8.552845446695937,-0.02838554724262414,0.0,-0.028385547242624126,8.383114739982517,,,28.8,21.0,4.0,56.0,40.0,0.093
t_motor_MN4012KV400,MN4012KV400,Motor,750.0,1.0,33.0,0.0238732414637843,2.0,12.0,40.9,0.08717275246988208,4.0,0.155,18N24P,75.0,1,"(31.5, 31.5)",25.0,8.0,400.0,92.9,44.7,4.0,"(12.0, 16.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7680.909267227701,5.2327113769512685e-06,88.84547742167243,0.0,0.0,0.0,50.051758672107866,-0.20189737857053114,0.0,-0.20189737857053158,88.60381621065952,52.10442877724043,0.0,0.0,0.0,50.051431186291154,-0.09220660833268607,0.0,-0.0922066083326865,51.86309505204423,,,44.7,12.0,4.0,40.9,33.0,0.155
t_motor_AT4125KV540,AT4125KV540,Motor,2000.0,2.6,50.0,0.01768388256576615,3.0,25.0,74.0,0.14945608590576698,6.0,0.355,12N14P,14.0,1,"(35.0, 40.0)",85.0,6.0,540.0,115.99,50.0,4.0,"(13.0, 16.0)","(7.0, 9.0)",,"(8.0, 10.0)",,,,9361.790948789938,5.2327113769512685e-06,116.49912462746653,0.0,0.0,0.0,74.71675425011901,-0.22288161526878403,0.0,-0.22288161526878447,116.20333524469726,32.91696536972932,0.0,0.0,0.0,74.71614582929854,0.0026239406164648427,0.0,0.0026239406164643986,32.62178440778051,,,50.0,25.0,6.0,74.0,50.0,0.355
t_motor_AS2820KV1250,AS2820KV1250,Motor,1092.0,3.44,42.0,0.007639437268410976,3.0,20.0,62.2,0.05893953811705331,5.0,0.14400000000000002,12N14P,16.8,1,30.0,77.0,4.0,1250.0,34.0,36.2,3.0,"(8.0, 12.0)","(5.0, 8.0)",,6.0,,,,5927.3838076677675,5.2327113769512685e-06,51.74733259368238,0.0,0.0,0.0,20.725037173305637,-0.16822490590921158,0.0,-0.16822490590921158,51.58123491317418,17.577244801655674,0.0,0.0,0.0,20.724523342899474,-0.035720694402060243,0.0,-0.035720694402060243,17.411660951553635,,,36.2,20.0,5.0,62.2,42.0,0.14400000000000002
t_motor_AS2312KV1150,AS2312KV1150,Motor,357.0,0.76,30.0,0.008303736161316279,3.0,12.0,44.5,0.029176354843180888,4.0,0.063,12N14P,81.0,1,"(24.0, 28.0)",23.0,4.0,1150.0,19.99,29.4,3.0,"(7.0, 10.0)","(5.0, 7.0)",,"(5.0, 6.0)",,,,4419.123326431602,5.2327113769512685e-06,32.3391903508228,0.0,0.0,0.0,9.453838197553008,-0.14129701414162765,0.0,-0.14129701414162787,32.223469148470315,17.50349458154384,0.0,0.0,0.0,9.453490908082621,-0.06951846360907604,0.0,-0.06951846360907626,17.38812066866175,,,29.4,12.0,4.0,44.5,30.0,0.063
t_motor_MN3508KV380,MN3508KV380,Motor,310.0,0.4,27.0,0.025129727856615054,2.0,8.0,35.1,0.05550228394103166,4.0,0.10300000000000001,12N14P,205.0,1,26.0,14.0,6.0,380.0,69.9,41.8,3.0,"(12.0, 16.0)","(4.0, 6.0)",,6.0,,,,6985.904602648997,5.2327113769512685e-06,75.74551779328537,0.0,0.0,0.0,39.14233639787321,-0.19040718318755978,0.0,-0.19040718318755934,75.5311925016659,51.668150511326715,0.0,0.0,0.0,39.142090516075825,-0.11346482888449802,0.0,-0.11346482888449759,51.454071101504624,,,41.8,8.0,4.0,35.1,27.0,0.10300000000000001
t_motor_AT4120KV500,AT4120KV500,Motor,1700.0,2.0,45.0,0.019098593171027443,3.0,20.0,69.0,0.1317928137921712,6.0,0.305,12N14P,21.0,1,"(35.0, 40.0)",75.0,6.0,500.0,109.99,50.0,4.0,"(14.0, 16.0)","(7.0, 10.0)",,"(8.0, 10.0)",,,,9361.790948789938,5.2327113769512685e-06,116.49912462746653,0.0,0.0,0.0,74.71675425011901,-0.22288161526878403,0.0,-0.22288161526878447,116.20333524469726,44.68910047645287,0.0,0.0,0.0,74.71623152237186,-0.029137405282866014,0.0,-0.029137405282866458,44.39383382143076,,,50.0,20.0,6.0,69.0,45.0,0.305
kde_direct_KDE3520XF_400,KDE3520XF_400,Motor,1332.0,0.3,45.0,0.0239,1.0,20.0,54.25,0.0855,5.0,0.245,12S14P,78.0,1,"(17.0, 17.0)",45.0,8.0,400.0,112.95,42.2,4.0,"(16.0, 20.0)","(4.0, 8.0)",,"(6.0, 8.0)",,15.95,,7115.4451004201055,5.2327113769512685e-06,74.07727276992608,0.0,0.0,0.0,37.043987061974555,-0.19199018639349408,0.0,-0.19199018639349386,73.85927622711608,13.234283446927098,0.0,0.0,0.0,37.04333485550435,0.00721263971553035,0.0,0.007212639715530572,13.016939110587305,,,42.2,20.0,5.0,54.25,45.0,0.245
t_motor_AT4120KV250,AT4120KV250,Motor,2100.0,1.0,45.0,0.038197186342054885,3.0,20.0,69.0,0.13855575756093666,6.0,0.304,12N14P,76.0,1,"(35.0, 40.0)",45.0,12.0,250.0,109.99,50.0,6.0,"(14.0, 18.0)","(6.0, 10.0)",,"(8.0, 10.0)",,,,9361.790948789938,5.2327113769512685e-06,116.49912462746653,0.0,0.0,0.0,74.71675425011901,-0.22288161526878403,0.0,-0.22288161526878447,116.20333524469726,44.924543178587335,0.0,0.0,0.0,74.71623323623331,-0.029772632200852606,0.0,-0.02977263220085305,44.62927480970376,,,50.0,20.0,6.0,69.0,45.0,0.304
t_motor_AT2317KV1400,AT2317KV1400,Motor,700.0,1.7,36.0,0.006820926132509801,3.0,17.0,52.0,0.03645938378334958,4.0,0.08,12N14P,35.0,1,23.0,45.0,4.0,1400.0,39.99,28.8,2.0,"(8.0, 10.0)","(4.0, 7.0)",,6.0,,,,4318.765284196598,5.2327113769512685e-06,30.60979853957744,0.0,0.0,0.0,8.553397918563288,-0.13892018544913154,0.0,-0.13892018544913154,30.498098263043257,11.585681554693059,0.0,0.0,0.0,8.552922673946211,-0.043836625701598284,0.0,-0.043836625701598284,11.474456522775952,,,28.8,17.0,4.0,52.0,36.0,0.08
kde_direct_KDE2315XF885,KDE2315XF885,Motor,532.0,0.5,28.5,0.0108,1.0,15.0,35.25,0.0303,4.0,0.075,12S14P,127.0,1,12.0,24.0,6.0,885.0,60.95,28.3,3.0,"(9.0, 12.0)","(3.0, 5.0)",,6.0,,,,4114.60986375881,5.2327113769512685e-06,30.46612044530081,0.0,0.0,0.0,8.66159024630726,-0.13693656283800548,0.0,-0.13693656283800548,30.357719799958826,13.373918993719492,0.0,0.0,0.0,8.66117459907142,-0.0526504220725785,0.0,-0.0526504220725785,13.265933995613349,,,28.3,15.0,4.0,35.25,28.5,0.075
t_motor_MN4014KV400,MN4014KV400,Motor,900.0,1.3,35.0,0.0238732414637843,2.0,14.0,42.9,0.09223037816543718,4.0,0.171,18N24P,67.0,1,"(31.5, 31.5)",30.0,8.0,400.0,96.9,44.7,4.0,"(14.0, 18.0)","(4.0, 6.0)",,"(6.0, 8.0)",,,,7680.909267227701,5.2327113769512685e-06,88.84547742167243,0.0,0.0,0.0,50.051758672107866,-0.20189737857053114,0.0,-0.20189737857053158,88.60381621065952,48.31180440104097,0.0,0.0,0.0,50.051397381303616,-0.08088369011458592,0.0,-0.08088369011458635,48.07050448083231,,,44.7,14.0,4.0,42.9,35.0,0.171
t_motor_AT2820KV1050,AT2820KV1050,Motor,900.0,2.0,43.0,0.009094568176679734,3.0,20.0,63.5,0.05435044037154876,5.0,0.139,12N14P,28.0,1,"(30.0, 36.0)",65.0,4.0,1050.0,59.99,35.2,3.0,"(10.0, 14.0)","(5.0, 8.0)",,"(6.0, 8.0)",,,,5712.603982763283,5.2327113769512685e-06,47.93425652273701,0.0,0.0,0.0,18.16139360797968,-0.164261946126113,0.0,-0.16426194612611322,47.776138046616765,14.543164895697554,0.0,0.0,0.0,18.160848216347688,-0.029314087660571697,0.0,-0.02931408766057192,14.385591811209299,,,35.2,20.0,5.0,63.5,43.0,0.139
t_motor_MN3110KV700,MN3110KV700,Motor,466.0,0.3,30.0,0.013641852265019601,2.0,10.0,37.1,0.044975855022520064,4.0,0.099,12N14P,92.0,1,26.0,21.0,6.0,700.0,61.9,37.7,3.0,"(10.0, 13.0)","(3.0, 5.0)",,6.0,,,,6043.8502892191445,5.2327113769512685e-06,57.94003054704589,0.0,0.0,0.0,25.273927898278842,-0.17416940776408563,0.0,-0.17416940776408607,57.76158398830286,34.300191169587364,0.0,0.0,0.0,25.273616990503964,-0.08843893945978781,0.0,-0.08843893945978827,34.12205551861922,,,37.7,10.0,4.0,37.1,30.0,0.099
t_motor_AT2814KV1050,AT2814KV1050,Motor,700.0,1.5,36.0,0.009094568176679734,3.0,14.0,54.5,0.048612511711132775,5.0,0.107,12N14P,35.0,1,"(30.0, 36.0)",50.0,4.0,1050.0,49.99,35.2,3.0,"(9.0, 13.0)","(4.0, 7.0)",,"(6.0, 8.0)",,,,5684.890731032396,5.2327113769512685e-06,48.277474042276225,0.0,0.0,0.0,18.4739883341891,-0.16426465032192272,0.0,-0.16426465032192272,48.119344665579774,22.71664087997292,0.0,0.0,0.0,18.47357795968836,-0.06184714332080159,0.0,-0.0618471433208016,22.558921877777216,,,35.2,14.0,5.0,54.5,36.0,0.107
