Name,MODEL,Classification,HUB_THICKNESS,DIAMETER,Direction,Performance_File,SHAFT_DIAMETER,PITCH,WEIGHT,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_DIAMETER,CREO_PITCH,CREO_HUB_THICKNESS,CREO_SHAFT_DIAMETER,CREO_WEIGHT,CREO_PROP_OFFSET,CREO_PTC_MATERIAL_NAME
apc_propellers_20x8E,apc_propellers_20x8E,Propeller,12.45,508.0,1.0,PER3_20x8E.dat,6.35,203.2,0.09598000000000001,425420.32820121635,3.1523348208253926e-07,12871.085913638759,0.0,0.0,0.0,12871.086727048709,0.0,0.0,0.0,25659.986502012922,12867.366628651258,0.0,0.0,0.0,12867.367442061208,0.0,0.0,0.0,25659.986502012922,,,508.0,203.2,12.45,6.35,0.09598000000000001,0.0,AIR_STP_TABLE
apc_propellers_4_75x4_75EC,apc_propellers_4_75x4_75EC,Propeller,7.62,120.65,1.0,PER3_475x475EC.dat,6.35,120.65,0.00313,25842.08143397241,1.24058219549629e-09,0.10040925819472413,0.0,0.0,0.0,0.10040926415519885,0.0,0.0,0.0,0.1966465729568062,0.054973865194724116,0.0,0.0,0.0,0.05497387115519884,0.0,0.0,0.0,0.1966465729568062,,,120.65,120.65,7.62,6.35,0.00313,0.0,AIR_STP_TABLE
apc_propellers_26x13E,apc_propellers_26x13E,Propeller,13.97,660.4,1.0,PER3_26x13E.dat,7.94,330.2,0.20901,714301.6220008892,2.4058705786113773e-06,314558.843301586,0.0,0.0,0.0,314558.86319725827,0.0,0.0,0.0,627620.0526464772,314548.64565665874,0.0,0.0,0.0,314548.665552331,0.0,0.0,0.0,627620.0526464772,,,660.4,330.2,13.97,7.94,0.20901,0.0,AIR_STP_TABLE
apc_propellers_11x8E,apc_propellers_11x8E,Propeller,10.41,279.4,1.0,PER3_11x8E.dat,6.35,203.2,0.023,131905.0336556531,4.807177988537966e-09,15.080585094729319,0.0,0.0,0.0,15.080586042484015,0.0,0.0,0.0,29.939622321319725,14.45746851972932,0.0,0.0,0.0,14.457469467484016,0.0,0.0,0.0,29.939622321319725,,,279.4,203.2,10.41,6.35,0.023,0.0,AIR_STP_TABLE
apc_propellers_12_25x3_75,apc_propellers_12_25x3_75,Propeller,10.92,311.15,1.0,PER3_1225x375.dat,6.35,95.25,0.04309,162904.45961851056,6.754721744019299e-08,341.60289073739824,0.0,0.0,0.0,341.60291223506016,0.0,0.0,0.0,678.7489049930522,340.31830889339824,0.0,0.0,0.0,340.31833039106016,0.0,0.0,0.0,678.7489049930522,,,311.15,95.25,10.92,6.35,0.04309,0.0,AIR_STP_TABLE
apc_propellers_14x7EP,apc_propellers_14x7EP,Propeller,11.18,355.6,-1.0,PER3_14x7E.dat,6.35,177.8,0.03402,211278.7653449412,4.098860116733047e-08,361.5801030356674,0.0,0.0,0.0,361.5801258292477,0.0,0.0,0.0,719.3690687564651,360.5170426736674,0.0,0.0,0.0,360.51706546724773,0.0,0.0,0.0,719.3690687564651,,,355.6,177.8,11.18,6.35,0.03402,0.0,AIR_STP_TABLE
apc_propellers_9x7_5SF,apc_propellers_9x7_5SF,Propeller,8.38,228.6,1.0,PER3_9x75SF.dat,6.35,190.5,0.00993,88208.69526430003,8.94607568059963e-09,10.12162400108131,0.0,0.0,0.0,10.121624636136438,0.0,0.0,0.0,20.099308979695095,9.94729192808131,0.0,0.0,0.0,9.947292563136438,0.0,0.0,0.0,20.099308979695095,,,228.6,190.5,8.38,6.35,0.00993,0.0,AIR_STP_TABLE
apc_propellers_13_5x14,apc_propellers_13_5x14,Propeller,15.49,342.9,1.0,PER3_135x14.dat,7.94,355.6,0.0669,201668.8691941386,1.9465922894037466e-07,2068.543689710967,0.0,0.0,0.0,2068.5438192480856,0.0,0.0,0.0,4092.570095349891,2064.5306915384667,0.0,0.0,0.0,2064.5308210755857,0.0,0.0,0.0,4092.570095349891,,,342.9,355.6,15.49,7.94,0.0669,0.0,AIR_STP_TABLE
apc_propellers_15_5x12W,apc_propellers_15_5x12W,Propeller,19.05,393.7,1.0,PER3_155x12W.dat,7.94,304.8,0.10492,267411.0007090775,7.338628996900958e-08,1669.277962627234,0.0,0.0,0.0,1669.2780670688269,0.0,0.0,0.0,3297.39818288884,1659.759030052234,0.0,0.0,0.0,1659.7591344938269,0.0,0.0,0.0,3297.39818288884,,,393.7,304.8,19.05,7.94,0.10492,0.0,AIR_STP_TABLE
apc_propellers_8_75x8_5N,apc_propellers_8_75x8_5N,Propeller,14.73,222.25,1.0,PER3_875x85N.dat,6.35,215.9,0.028079999999999997,88104.86012931175,1.2113177763708727e-08,21.86987823659062,0.0,0.0,0.0,21.86987958642515,0.0,0.0,0.0,42.73931143205738,20.34672847859062,0.0,0.0,0.0,20.34672982842515,0.0,0.0,0.0,42.73931143205738,,,222.25,215.9,14.73,6.35,0.028079999999999997,0.0,AIR_STP_TABLE
