Name,MODEL,Classification,SPAN,AILERON_BIAS,AoA_CL_Max,OFFSET,CONTROL_CHANNEL_FLAPS,CL_Max,CL_Max_CD0_Min,LASTTWO,CHORD,TUBE_OFFSET,CL_LD_Max,SERVO_WIDTH,AoA_L0,dCl_dAoA_Slope,CONTROL_CHANNEL_AILERONS,DIAMETER,LD_Max,SERVO_LENGTH,CD0_Min,CD_Min,CM0,FLAP_BIAS,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_CHORD,CREO_SPAN,CREO_LASTTWO,CREO_DIAMETER,CREO_OFFSET,CREO_SERVO_LENGTH,CREO_SERVO_WIDTH,CREO_TUBE_OFFSET
left_NACA_2312,NACA_2312,Wing,1016.0,-0.5,16.0,50.0,6,1.61,181.0,12.0,304.8,50.0,0.39,32.8,-1.9,0.101,7,10.16,22.1,25.7,0.0089,0.009,-0.038,0.5,336888.9861457566,2.76799e-08,10535.326786310196,-4737.5249162926575,-0.6479739975586263,-4737.5249162926575,3572.1858360362307,-1.5130279638406157,-0.6479739975586263,-1.5130279638406157,14087.028627000103,2646.7042263172116,2.072084903198629,-0.0625559510031557,2.072084903198629,724.5681619711559,-0.5386535734729297,-0.0625559510031557,-0.5386535734729297,3350.7886336445154,304.8,1016.0,12.0,10.16,50.0,25.7,32.8,50.0
left_NACA_2712,NACA_2712,Wing,1016.0,-0.5,17.0,50.0,6,1.68,187.0,12.0,304.8,50.0,0.38,32.8,-2.6,0.1,7,10.16,22.0,25.7,0.009,0.0093,-0.075,0.5,336888.9861457566,2.76799e-08,10535.326786310196,-4737.5249162926575,-0.6479739975586263,-4737.5249162926575,3572.1858360362307,-1.5130279638406157,-0.6479739975586263,-1.5130279638406157,14087.028627000103,2646.7042263172116,2.072084903198629,-0.0625559510031557,2.072084903198629,724.5681619711559,-0.5386535734729297,-0.0625559510031557,-0.5386535734729297,3350.7886336445154,304.8,1016.0,12.0,10.16,50.0,25.7,32.8,50.0
right_NACA_2518,NACA_2518,Wing,1016.0,0.5,16.0,50.0,6,1.48,132.0,18.0,304.8,50.0,0.42,32.8,-2.0,0.096,7,10.16,19.1,25.7,0.0112,0.0113,-0.047,0.5,353650.62243480934,2.76799e-08,15822.193033853362,7106.286980007507,-1.4579419800092634,7106.286980007507,5377.482144995367,3.4043136696810485,-1.4579419800092634,3.4043136696810485,21130.541698302764,3989.259606359789,-3.1080285028219805,-0.14075116190120607,-3.1080285028219805,1106.0557706228524,1.2119709023573932,-0.14075116190120607,1.2119709023573932,5026.182708807844,304.8,1016.0,18.0,10.16,50.0,25.7,32.8,50.0
right_NACA_6412,NACA_6412,Wing,1016.0,0.5,15.0,50.0,6,1.67,160.0,12.0,304.8,50.0,0.42,32.8,-5.7,0.101,7,10.16,20.8,25.7,0.0104,0.0117,-0.132,0.5,336888.98614575673,2.76799e-08,10535.326760514363,4737.52486938158,-0.6479739975587823,4737.52486938158,3572.1857676700597,1.513027963840647,-0.6479739975587823,1.513027963840647,14087.028532860866,2646.7042694472225,-2.072017111898276,-0.06255596243234762,-2.072017111898276,724.5682065539365,0.5386535774283024,-0.06255596243234762,0.5386535774283023,3350.7887213800723,304.8,1016.0,12.0,10.16,50.0,25.7,32.8,50.0
right_NACA_6318,NACA_6318,Wing,1016.0,0.5,13.0,50.0,6,1.43,110.0,18.0,304.8,50.0,0.45,32.8,-5.2,0.098,7,10.16,18.4,25.7,0.013,0.0133,-0.097,0.5,353650.62243480934,2.76799e-08,15822.193033853362,7106.286980007507,-1.4579419800092634,7106.286980007507,5377.482144995367,3.4043136696810485,-1.4579419800092634,3.4043136696810485,21130.541698302764,3989.259606359789,-3.1080285028219805,-0.14075116190120607,-3.1080285028219805,1106.0557706228524,1.2119709023573932,-0.14075116190120607,1.2119709023573932,5026.182708807844,304.8,1016.0,18.0,10.16,50.0,25.7,32.8,50.0
left_NACA_2512,NACA_2512,Wing,1016.0,-0.5,17.0,50.0,6,1.62,184.0,12.0,304.8,50.0,0.39,32.8,-2.1,0.102,7,10.16,22.3,25.7,0.0088,0.0091,-0.054,0.5,336888.9861457566,2.76799e-08,10535.326786310196,-4737.5249162926575,-0.6479739975586263,-4737.5249162926575,3572.1858360362307,-1.5130279638406157,-0.6479739975586263,-1.5130279638406157,14087.028627000103,2646.7042263172116,2.072084903198629,-0.0625559510031557,2.072084903198629,724.5681619711559,-0.5386535734729297,-0.0625559510031557,-0.5386535734729297,3350.7886336445154,304.8,1016.0,12.0,10.16,50.0,25.7,32.8,50.0
right_NACA_4315,NACA_4315,Wing,1016.0,0.5,15.0,50.0,6,1.56,146.0,15.0,304.8,50.0,0.42,32.8,-3.6,0.103,7,10.16,20.2,25.7,0.0107,0.0108,-0.068,0.5,345078.65376393555,2.76799e-08,13176.359499689484,5921.905949164493,-1.012459719574755,5921.905949164493,4472.4335088157,2.3641067118604586,-1.012459719574755,2.3641067118604586,17608.785206196586,3315.581525985176,-2.5900237712894523,-0.09774387258830652,-2.5900237712894523,912.9115541055611,0.8416464549285039,-0.09774387258830652,0.8416464549285039,4188.485747904331,304.8,1016.0,15.0,10.16,50.0,25.7,32.8,50.0
right_NACA_2315,NACA_2315,Wing,1016.0,0.5,15.0,50.0,6,1.54,154.0,15.0,304.8,50.0,0.41,32.8,-1.7,0.102,7,10.16,20.5,25.7,0.01,0.01,-0.034,0.5,345078.65376393555,2.76799e-08,13176.359499689484,5921.905949164493,-1.012459719574755,5921.905949164493,4472.4335088157,2.3641067118604586,-1.012459719574755,2.3641067118604586,17608.785206196586,3315.581525985176,-2.5900237712894523,-0.09774387258830652,-2.5900237712894523,912.9115541055611,0.8416464549285039,-0.09774387258830652,0.8416464549285039,4188.485747904331,304.8,1016.0,15.0,10.16,50.0,25.7,32.8,50.0
right_NACA_0009,NACA_0009,Wing,1016.0,0.5,14.0,50.0,6,1.27,172.0,9.0,304.8,50.0,0.36,32.8,0.0,0.101,7,10.16,22.9,25.7,0.0074,0.0074,-0.003,0.5,329137.68680601526,2.76799e-08,7898.134558333412,3553.1437058306183,-0.364485380551417,3553.1437058306183,2675.7787125490518,0.8510782486608897,-0.364485380551417,0.8510782486608897,10565.271585199476,1981.6676402018086,-1.5540127984208993,-0.03518772895972727,-1.5540127984208993,540.0655488470181,0.3029926449453155,-0.03518772895972727,0.3029926449453155,2513.0916049121975,304.8,1016.0,9.0,10.16,50.0,25.7,32.8,50.0
left_NACA_6318,NACA_6318,Wing,1016.0,-0.5,13.0,50.0,6,1.43,110.0,18.0,304.8,50.0,0.45,32.8,-5.2,0.098,7,10.16,18.4,25.7,0.013,0.0133,-0.097,0.5,353650.6224348092,2.76799e-08,15822.19307256614,-7106.287050372183,-1.4579419800095357,-7106.287050372183,5377.482247564129,-3.404313669681061,-1.4579419800095357,-3.404313669681061,21130.5418395076,3989.259541681135,3.1081301916519806,-0.14075113618556334,3.1081301916519806,1106.0557037692192,-1.211970893456411,-0.14075113618556334,-1.211970893456411,5026.182577198854,304.8,1016.0,18.0,10.16,50.0,25.7,32.8,50.0
right_NACA_2412,NACA_2412,Wing,1016.0,0.5,17.0,50.0,6,1.62,190.0,12.0,304.8,50.0,0.39,32.8,-1.8,0.101,7,10.16,22.5,25.7,0.0085,0.0087,-0.044,0.5,336888.98614575673,2.76799e-08,10535.326760514363,4737.52486938158,-0.6479739975587823,4737.52486938158,3572.1857676700597,1.513027963840647,-0.6479739975587823,1.513027963840647,14087.028532860866,2646.7042694472225,-2.072017111898276,-0.06255596243234762,-2.072017111898276,724.5682065539365,0.5386535774283024,-0.06255596243234762,0.5386535774283023,3350.7887213800723,304.8,1016.0,12.0,10.16,50.0,25.7,32.8,50.0
right_NACA_4415,NACA_4415,Wing,1016.0,0.5,15.0,50.0,6,1.57,150.0,15.0,304.8,50.0,0.42,32.8,-3.8,0.101,7,10.16,20.5,25.7,0.0105,0.0108,-0.083,0.5,345078.65376393555,2.76799e-08,13176.359499689484,5921.905949164493,-1.012459719574755,5921.905949164493,4472.4335088157,2.3641067118604586,-1.012459719574755,2.3641067118604586,17608.785206196586,3315.581525985176,-2.5900237712894523,-0.09774387258830652,-2.5900237712894523,912.9115541055611,0.8416464549285039,-0.09774387258830652,0.8416464549285039,4188.485747904331,304.8,1016.0,15.0,10.16,50.0,25.7,32.8,50.0
left_NACA_4509,NACA_4509,Wing,1016.0,-0.5,13.0,50.0,6,1.56,168.0,9.0,304.8,50.0,0.4,32.8,-4.1,0.103,7,10.16,22.0,25.7,0.0093,0.0099,-0.106,0.5,329137.6868060152,2.76799e-08,7898.13457785144,-3553.143741166426,-0.3644853807051135,-3553.143741166426,2675.778763964213,-0.851078248737857,-0.3644853807051135,-0.851078248737857,10565.271656120463,1981.667608241635,1.5540635002421368,-0.03518772244589918,1.5540635002421368,540.0655154593949,-0.3029926424218219,-0.03518772244589918,-0.3029926424218219,2513.091539552198,304.8,1016.0,9.0,10.16,50.0,25.7,32.8,50.0
right_NACA_4612,NACA_4612,Wing,1016.0,0.5,17.0,50.0,6,1.76,178.0,12.0,304.8,50.0,0.41,32.8,-4.6,0.098,7,10.16,21.1,25.7,0.0099,0.0105,-0.124,0.5,336888.98614575673,2.76799e-08,10535.326760514363,4737.52486938158,-0.6479739975587823,4737.52486938158,3572.1857676700597,1.513027963840647,-0.6479739975587823,1.513027963840647,14087.028532860866,2646.7042694472225,-2.072017111898276,-0.06255596243234762,-2.072017111898276,724.5682065539365,0.5386535774283024,-0.06255596243234762,0.5386535774283023,3350.7887213800723,304.8,1016.0,12.0,10.16,50.0,25.7,32.8,50.0
right_NACA_4321,NACA_4321,Wing,1016.0,0.5,15.0,50.0,6,1.29,96.0,21.0,304.8,50.0,0.45,32.8,-3.6,0.095,7,10.16,17.4,25.7,0.0134,0.0134,-0.057,0.5,362560.88603583944,2.76799e-08,18473.787265951385,8290.667852413502,-1.9844211267061032,8290.667852413502,6288.291779813867,4.6336495615012225,-1.9844211267061032,4.6336495615012225,24652.297643738184,4668.698583051917,-3.626033186659697,-0.19157794102189896,-3.626033186659697,1304.9610124716683,1.649627249550826,-0.19157794102189896,1.6496272495508264,5863.879483512071,304.8,1016.0,21.0,10.16,50.0,25.7,32.8,50.0
left_NACA_4515,NACA_4515,Wing,1016.0,-0.5,17.0,50.0,6,1.62,143.0,15.0,304.8,50.0,0.43,32.8,-4.1,0.101,7,10.16,19.6,25.7,0.0113,0.0116,-0.097,0.5,345078.65376393555,2.76799e-08,13176.359532229613,-5921.906008050725,-1.012459720004875,-5921.906008050725,4472.433594519339,-2.3641067120813797,-1.012459720004875,-2.3641067120813797,17608.78532438417,3315.5814727197035,2.590108280415734,-0.0977438544891881,2.590108280415734,912.9114984751573,-0.8416464479105459,-0.0977438544891881,-0.8416464479105459,4188.485638952275,304.8,1016.0,15.0,10.16,50.0,25.7,32.8,50.0
right_NACA_6509,NACA_6509,Wing,1016.0,0.5,15.0,50.0,6,1.71,171.0,9.0,304.8,50.0,0.43,32.8,-6.3,0.103,7,10.16,21.0,25.7,0.01,0.0119,-0.158,0.5,329137.68680601526,2.76799e-08,7898.134558333412,3553.1437058306183,-0.364485380551417,3553.1437058306183,2675.7787125490518,0.8510782486608897,-0.364485380551417,0.8510782486608897,10565.271585199476,1981.6676402018086,-1.5540127984208993,-0.03518772895972727,-1.5540127984208993,540.0655488470181,0.3029926449453155,-0.03518772895972727,0.3029926449453155,2513.0916049121975,304.8,1016.0,9.0,10.16,50.0,25.7,32.8,50.0
left_NACA_0025,NACA_0025,Wing,1016.0,-0.5,16.0,50.0,6,1.2,84.0,25.0,304.8,50.0,0.47,32.8,0.0,0.089,7,10.16,16.5,25.7,0.0143,0.0143,-0.003,0.5,374906.61281186395,2.76799e-08,22019.86740285225,-9869.842365044202,-2.812387680131516,-9869.842365044202,7513.326027550886,-6.566962475965079,-2.812387680131516,-6.566962475965079,29347.972145143875,5585.238242883691,4.316846566829554,-0.2715104783171425,4.316846566829554,1580.7890942136019,-2.3379065236734355,-0.2715104783171425,-2.3379065236734355,6980.808228329542,304.8,1016.0,25.0,10.16,50.0,25.7,32.8,50.0
left_NACA_4309,NACA_4309,Wing,1016.0,-0.5,15.0,50.0,6,1.6,180.0,9.0,304.8,50.0,0.39,32.8,-3.6,0.103,7,10.16,22.3,25.7,0.0089,0.0094,-0.073,0.5,329137.6868060152,2.76799e-08,7898.13457785144,-3553.143741166426,-0.3644853807051135,-3553.143741166426,2675.778763964213,-0.851078248737857,-0.3644853807051135,-0.851078248737857,10565.271656120463,1981.667608241635,1.5540635002421368,-0.03518772244589918,1.5540635002421368,540.0655154593949,-0.3029926424218219,-0.03518772244589918,-0.3029926424218219,2513.091539552198,304.8,1016.0,9.0,10.16,50.0,25.7,32.8,50.0
